"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","Italy","12 [5.8-20]","12","5.8","20",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Lower-middle-income","Lesotho","415 [80-1020]","415","80","1020",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Zambia","23 [6.3-51]","23","6.3","51",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Low-income","Togo","6200 [3000-11000]","6200","3000","11000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Chad","241 [119-404]","241","119","404",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","Netherlands","1700 [780-3000]","1700","780","3000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Low-income","Zimbabwe","33 [1.2-117]","33","1.2","117",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Western Pacific","Lower-middle-income","China","48000 [46000-50000]","48000","46000","50000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","Upper-middle-income","Kazakhstan","13 [12-15]","13","12","15",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","High-income","United States of America","0.18 [0.18-0.18]","0.18","0.18","0.18",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Lower-middle-income","Sao Tome and Principe","210 [81-400]","210","81","400",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Americas","Lower-middle-income","Ecuador","106 [53-176]","106","53","176",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Upper-middle-income","Palau","4.4 [2.9-6.2]","4.4","2.9","6.2",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Lower-middle-income","Lesotho","8100 [1600-20000]","8100","1600","20000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Upper-middle-income","Gabon","728 [354-1234]","728","354","1234",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Eastern Mediterranean","Low-income","Somalia","57 [23-106]","57","23","106",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Western Pacific","Upper-middle-income","Fiji","1.9 [1.9-2]","1.9","1.9","2",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","Upper-middle-income","Saint Kitts and Nevis","1.3 [1.2-1.4]","1.3","1.2","1.4",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","Lower-middle-income","Albania","770 [330-1400]","770","330","1400",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Upper-middle-income","Fiji","68 [36-111]","68","36","111",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Western Pacific","High-income","Nauru","0.82 [0.41-1.4]","0.82","0.41","1.4",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","High-income","Brunei Darussalam","86 [37-156]","86","37","156",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Western Pacific","High-income","Republic of Korea","2700 [120-9100]","2700","120","9100",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Western Pacific","High-income","Republic of Korea","149 [121-179]","149","121","179",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Low-income","Guinea","32000 [16000-54000]","32000","16000","54000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","High-income","Hungary","1.4 [1.4-1.4]","1.4","1.4","1.4",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Americas","High-income","Bahamas","1.1 [1.1-1.1]","1.1","1.1","1.1",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","Upper-middle-income","Latvia","1200 [520-2300]","1200","520","2300",
"Number of prevalent tuberculosis cases ","Published","2009","Africa","Upper-middle-income","Gabon","11000 [5400-19000]","11000","5400","19000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","High-income","Austria","0.48 [0.47-0.49]","0.48","0.47","0.49",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","Upper-middle-income","Palau","0.91 [0.6-1.3]","0.91","0.6","1.3",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Lower-middle-income","El Salvador","33 [12-65]","33","12","65",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","Austria","14 [5.8-26]","14","5.8","26",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","High-income","Slovakia","35 [35-35]","35","35","35",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","Upper-middle-income","Romania","31000 [15000-55000]","31000","15000","55000",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Lower-middle-income","Paraguay","190 [160-230]","190","160","230",
"Number of prevalent tuberculosis cases ","Published","2009","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","15000 [7000-25000]","15000","7000","25000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","Upper-middle-income","Kazakhstan","308 [133-554]","308","133","554",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Lower-middle-income","Paraguay","65 [32-110]","65","32","110",
"Number of prevalent tuberculosis cases ","Published","2012","Western Pacific","Low-income","Niue","0.64 [0.19-1.3]","0.64","0.19","1.3",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","Upper-middle-income","The former Yugoslav Republic of Macedonia","26 [9-51]","26","9","51",
"Number of prevalent tuberculosis cases ","Published","2011","Americas","Upper-middle-income","Cuba","1600 [700-2800]","1600","700","2800",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Upper-middle-income","Gabon","44 [18-81]","44","18","81",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","High-income","Norway","0.12 [0.12-0.13]","0.12","0.12","0.13",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","High-income","Norway","6.1 [6-6.3]","6.1","6","6.3",
"Number of prevalent tuberculosis cases ","Published","2008","Western Pacific","Lower-middle-income","China","1600000 [1400000-1800000]","1600000","1400000","1800000",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","High-income","Finland","16 [16-16]","16","16","16",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Eastern Mediterranean","High-income","United Arab Emirates","21 [0-140]","21","0","140",
"Number of prevalent tuberculosis cases ","Published","2012","Western Pacific","Lower-middle-income","Philippines","450000 [390000-500000]","450000","390000","500000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Latvia","60 [25-111]","60","25","111",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Upper-middle-income","Seychelles","2 [2-2]","2","2","2",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","High-income","Slovakia","0.61 [0.61-0.62]","0.61","0.61","0.62",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Low-income","Liberia","20000 [10000-34000]","20000","10000","34000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Americas","Upper-middle-income","Saint Vincent and the Grenadines","0.91 [0.9-0.91]","0.91","0.9","0.91",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","Lower-middle-income","El Salvador","2100 [740-4000]","2100","740","4000",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","High-income","Austria","1200 [480-2100]","1200","480","2100",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","Upper-middle-income","Palau","244 [120-412]","244","120","412",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","High-income","Brunei Darussalam","13 [12-14]","13","12","14",
"Number of prevalent tuberculosis cases ","Published","2009","Africa","Low-income","Zimbabwe","55000 [6300-150000]","55000","6300","150000",
"Number of prevalent tuberculosis cases ","Published","2012","Western Pacific","Lower-middle-income","Kiribati","630 [270-1100]","630","270","1100",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Saint Kitts and Nevis","5.1 [1.7-10]","5.1","1.7","10",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Low-income","Zimbabwe","423 [49-1192]","423","49","1192",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Kiribati","628 [270-1132]","628","270","1132",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Upper-middle-income","Botswana","343 [157-600]","343","157","600",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Low-income","Rwanda","114 [61-183]","114","61","183",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Upper-middle-income","Botswana","420 [110-920]","420","110","920",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","Monaco","1.8 [0.91-3.1]","1.8","0.91","3.1",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","High-income","Barbados","1.8 [0.77-3.1]","1.8","0.77","3.1",
"Number of prevalent tuberculosis cases ","Published","2009","Americas","Lower-middle-income","Guyana","1000 [440-1900]","1000","440","1900",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Saint Vincent and the Grenadines","32 [11-63]","32","11","63",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","Upper-middle-income","Kazakhstan","2100 [1900-2400]","2100","1900","2400",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","High-income","Trinidad and Tobago","22 [10-40]","22","10","40",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Western Pacific","Lower-middle-income","Solomon Islands","160 [74-279]","160","74","279",
"Number of prevalent tuberculosis cases ","Published","2011","South-East Asia","Lower-middle-income","Sri Lanka","23000 [11000-39000]","23000","11000","39000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Low-income","Ghana","106 [52-179]","106","52","179",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Eastern Mediterranean","Lower-middle-income","Jordan","0.59 [0-6.5]","0.59","0","6.5",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Eastern Mediterranean","Low-income","Yemen","6 [2.7-11]","6","2.7","11",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Finland","440 [150-860]","440","150","860",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Western Pacific","Low-income","Viet Nam","24 [16-32]","24","16","32",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Low-income","Guinea-Bissau","4200 [1900-7300]","4200","1900","7300",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Western Pacific","Low-income","Lao People's Democratic Republic","11 [6.9-17]","11","6.9","17",
