"DE","Year","Country","CO","Numeric"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Chile",,"1.4"
"Number of prevalent tuberculosis cases ","2007","Cook Islands",,"2.7"
"Number of deaths due to tuberculosis excluding HIV","2011","Belarus",,"660"
"Number of prevalent tuberculosis cases ","2007","Suriname",,"420"
"Prevalence of tuberculosis (per 100 000 population)","2011","Japan",,"28"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Niue",,"0.68"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Spain",,"0.66"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Singapore",,"1.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Antigua and Barbuda",,"1.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Romania",,"7.2"
"Number of deaths due to tuberculosis excluding HIV","2012","Croatia",,"61"
"Number of deaths due to tuberculosis excluding HIV","2012","Dominican Republic",,"460"
"Prevalence of tuberculosis (per 100 000 population)","2009","Niger",,"199"
"Prevalence of tuberculosis (per 100 000 population)","2011","Seychelles",,"42"
"Number of deaths due to tuberculosis excluding HIV","2009","Nicaragua",,"190"
"Prevalence of tuberculosis (per 100 000 population)","2008","Belarus",,"106"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","France",,"0.5"
"Number of deaths due to tuberculosis excluding HIV","2009","Afghanistan",,"9800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Belarus",,"7"
"Number of prevalent tuberculosis cases ","2009","Dominican Republic",,"11000"
"Number of deaths due to tuberculosis excluding HIV","2008","Democratic People's Republic of Korea",,"2500"
"Number of deaths due to tuberculosis excluding HIV","2010","Spain",,"300"
"Number of deaths due to tuberculosis excluding HIV","2008","Chile",,"230"
"Number of prevalent tuberculosis cases ","2008","Japan",,"39000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Iran (Islamic Republic of)",,"31"
"Prevalence of tuberculosis (per 100 000 population)","2008","France",,"17"
"Number of deaths due to tuberculosis excluding HIV","2011","Japan",,"2300"
"Number of prevalent tuberculosis cases ","2008","Tuvalu",,"31"
"Number of prevalent tuberculosis cases ","2010","Sierra Leone",,"74000"
"Number of prevalent tuberculosis cases ","2012","Gabon",,"9200"
"Prevalence of tuberculosis (per 100 000 population)","2008","South Africa",,"761"
"Number of prevalent tuberculosis cases ","2007","Bhutan",,"3000"
"Number of deaths due to tuberculosis excluding HIV","2011","Viet Nam",,"19000"
"Number of prevalent tuberculosis cases ","2008","South Africa",,"380000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Bhutan",,"444"
"Number of prevalent tuberculosis cases ","2012","Malaysia",,"29000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Thailand",,"202"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Burkina Faso",,"8.5"
"Prevalence of tuberculosis (per 100 000 population)","2011","Viet Nam",,"227"
"Prevalence of tuberculosis (per 100 000 population)","2008","Democratic People's Republic of Korea",,"484"
"Number of prevalent tuberculosis cases ","2008","Thailand",,"130000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Afghanistan",,"35"
"Prevalence of tuberculosis (per 100 000 population)","2009","Singapore",,"47"
"Number of deaths due to tuberculosis excluding HIV","2009","Panama",,"240"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Mongolia",,"7.8"
"Prevalence of tuberculosis (per 100 000 population)","2009","Equatorial Guinea",,"139"
"Number of prevalent tuberculosis cases ","2011","Jamaica",,"260"
"Number of prevalent tuberculosis cases ","2009","Greece",,"1000"
"Number of prevalent tuberculosis cases ","2012","Israel",,"850"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Dominican Republic",,"4.4"
"Number of deaths due to tuberculosis excluding HIV","2011","Seychelles",,"1.7"
"Number of prevalent tuberculosis cases ","2011","Saint Vincent and the Grenadines",,"31"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Tunisia",,"2.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Nicaragua",,"3.1"
"Number of deaths due to tuberculosis excluding HIV","2008","France",,"360"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Colombia",,"1.8"
"Number of prevalent tuberculosis cases ","2007","United States of America",,"20000"
"Number of deaths due to tuberculosis excluding HIV","2008","Namibia",,"360"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Andorra",,"0.32"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Namibia",,"17"
"Prevalence of tuberculosis (per 100 000 population)","2012","United Arab Emirates",,"2.4"
"Number of prevalent tuberculosis cases ","2008","Belarus",,"10000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Colombia",,"54"
"Number of prevalent tuberculosis cases ","2010","Azerbaijan",,"20000"
"Number of prevalent tuberculosis cases ","2011","Viet Nam",,"200000"
"Number of deaths due to tuberculosis excluding HIV","2008","Malawi",,"2200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Antigua and Barbuda",,"1.8"
"Number of prevalent tuberculosis cases ","2008","Seychelles",,"57"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Belgium",,"0.46"
"Prevalence of tuberculosis (per 100 000 population)","2009","Papua New Guinea",,"579"
"Number of prevalent tuberculosis cases ","2009","Croatia",,"1400"
"Prevalence of tuberculosis (per 100 000 population)","2010","United States of America",,"5.3"
"Number of deaths due to tuberculosis excluding HIV","2012","Malaysia",,"1600"
"Prevalence of tuberculosis (per 100 000 population)","2010","Slovakia",,"11"
"Number of deaths due to tuberculosis excluding HIV","2007","Marshall Islands",,"36"
"Number of prevalent tuberculosis cases ","2009","Panama",,"2000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Cabo Verde",,"27"
"Number of deaths due to tuberculosis excluding HIV","2007","Bahrain",,"7.9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Oman",,"0.97"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","France",,"0.57"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Democratic People's Republic of Korea",,"10"
"Number of deaths due to tuberculosis excluding HIV","2007","Tunisia",,"280"
"Number of deaths due to tuberculosis excluding HIV","2012","United Arab Emirates",,"9"
"Number of prevalent tuberculosis cases ","2008","Colombia",,"24000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Albania",,"0.5"
"Prevalence of tuberculosis (per 100 000 population)","2009","Afghanistan",,"348"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","South Africa",,"47"
"Number of deaths due to tuberculosis excluding HIV","2008","Uzbekistan",,"2300"
"Number of prevalent tuberculosis cases ","2011","United Kingdom",,"13000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Israel",,"11"
"Number of prevalent tuberculosis cases ","2007","Slovakia",,"1000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Lebanon",,"19"
"Prevalence of tuberculosis (per 100 000 population)","2010","Central African Republic",,"637"
"Number of deaths due to tuberculosis excluding HIV","2008","Ethiopia",,"19000"
"Number of deaths due to tuberculosis excluding HIV","2011","Thailand",,"9500"
"Prevalence of tuberculosis (per 100 000 population)","2011","Lao People's Democratic Republic",,"540"
"Number of deaths due to tuberculosis excluding HIV","2007","Maldives",,"5.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Cambodia",,"72"
"Prevalence of tuberculosis (per 100 000 population)","2009","Eritrea",,"173"
"Number of prevalent tuberculosis cases ","2011","Argentina",,"16000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Jordan",,"9.1"
"Prevalence of tuberculosis (per 100 000 population)","2011","Bolivia (Plurinational State of)",,"221"
"Number of deaths due to tuberculosis excluding HIV","2012","Greece",,"76"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Burkina Faso",,"9.7"
"Number of deaths due to tuberculosis excluding HIV","2008","Switzerland",,"21"
"Number of prevalent tuberculosis cases ","2008","Jamaica",,"250"
"Number of prevalent tuberculosis cases ","2012","Zimbabwe",,"59000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Mongolia",,"7.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Qatar",,"0.19"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Syrian Arab Republic",,"2.2"
"Prevalence of tuberculosis (per 100 000 population)","2011","Slovenia",,"15"
"Number of prevalent tuberculosis cases ","2007","Hungary",,"2600"
"Number of deaths due to tuberculosis excluding HIV","2008","Italy",,"340"
"Number of deaths due to tuberculosis excluding HIV","2007","Suriname",,"8.6"
"Number of prevalent tuberculosis cases ","2008","Bahamas",,"62"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Costa Rica",,"0.92"
"Prevalence of tuberculosis (per 100 000 population)","2008","Somalia",,"541"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","C?te d'Ivoire",,"22"
"Number of prevalent tuberculosis cases ","2012","Mali",,"14000"
"Number of prevalent tuberculosis cases ","2011","Swaziland",,"11000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Slovenia",,"17"
"Number of prevalent tuberculosis cases ","2012","Botswana",,"6900"
"Number of deaths due to tuberculosis excluding HIV","2010","Honduras",,"240"
"Number of prevalent tuberculosis cases ","2011","Pakistan",,"670000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Cameroon",,"354"
"Number of deaths due to tuberculosis excluding HIV","2009","Turkey",,"640"
"Number of prevalent tuberculosis cases ","2008","Syrian Arab Republic",,"5700"
"Number of prevalent tuberculosis cases ","2008","Belgium",,"1400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Namibia",,"14"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Vanuatu",,"13"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Italy",,"0.46"
"Number of prevalent tuberculosis cases ","2011","Montenegro",,"180"
"Prevalence of tuberculosis (per 100 000 population)","2010","Nigeria",,"210"
"Number of deaths due to tuberculosis excluding HIV","2012","Equatorial Guinea",,"0"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Cuba",,"0.23"
"Number of prevalent tuberculosis cases ","2010","Kazakhstan",,"42000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Saint Kitts and Nevis",,"2.2"
"Number of deaths due to tuberculosis excluding HIV","2010","United States of America",,"610"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Grenada",,"1.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Kiribati",,"17"
"Number of deaths due to tuberculosis excluding HIV","2009","Singapore",,"86"
"Prevalence of tuberculosis (per 100 000 population)","2011","Egypt",,"29"
"Prevalence of tuberculosis (per 100 000 population)","2008","Kenya",,"330"
"Number of prevalent tuberculosis cases ","2012","Estonia",,"380"
"Prevalence of tuberculosis (per 100 000 population)","2011","Jamaica",,"9.4"
"Prevalence of tuberculosis (per 100 000 population)","2012","Croatia",,"20"
"Number of prevalent tuberculosis cases ","2007","Nigeria",,"380000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Thailand",,"14"
"Number of prevalent tuberculosis cases ","2008","Zambia",,"50000"
"Number of prevalent tuberculosis cases ","2008","Andorra",,"7.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Maldives",,"1.8"
"Prevalence of tuberculosis (per 100 000 population)","2008","Andorra",,"9.5"
"Number of deaths due to tuberculosis excluding HIV","2011","Madagascar",,"10000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Uruguay",,"1.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Montenegro",,"0.19"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Serbia",,"1.6"
"Prevalence of tuberculosis (per 100 000 population)","2011","Qatar",,"41"
"Number of deaths due to tuberculosis excluding HIV","2011","South Africa",,"28000"
"Number of prevalent tuberculosis cases ","2011","Egypt",,"23000"
"Number of prevalent tuberculosis cases ","2012","Australia",,"2000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Uruguay",,"30"
"Prevalence of tuberculosis (per 100 000 population)","2011","Somalia",,"566"
"Number of deaths due to tuberculosis excluding HIV","2008","Uruguay",,"41"
"Number of deaths due to tuberculosis excluding HIV","2011","Somalia",,"6100"
"Prevalence of tuberculosis (per 100 000 population)","2008","Morocco",,"134"
"Number of prevalent tuberculosis cases ","2012","United Arab Emirates",,"220"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","South Africa",,"55"
"Prevalence of tuberculosis (per 100 000 population)","2010","Hungary",,"26"
"Number of deaths due to tuberculosis excluding HIV","2011","Qatar",,"3.6"
"Prevalence of tuberculosis (per 100 000 population)","2011","Bahamas",,"16"
"Number of deaths due to tuberculosis excluding HIV","2009","Papua New Guinea",,"3600"
